"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2025","jif_quartile","jci_2025","percent_citable_oa"
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","1542-4863","ONCOLOGY","('SCIE',)","78,841","685.2","Q1","114.10","100.00"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0072","1471-0080","CELL BIOLOGY","('SCIE',)","83,533","118.0","Q1","7.35","1.43"
"LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","('SCIE',)","378,842","109.0","Q1","23.89","25.49"
"NATURE REVIEWS MICROBIOLOGY","1740-1526","1740-1534","MICROBIOLOGY","('SCIE',)","71,046","104.6","Q1","9.49","0.00"
"MMWR Surveillance Summaries","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","3,511","96.9","Q1","17.23","30.77"
"Nature Reviews Clinical Oncology","1759-4774","1759-4782","ONCOLOGY","('SCIE',)","39,514","94.6","Q1","11.09","0.70"
"NATURE REVIEWS DRUG DISCOVERY","1474-1776","1474-1784","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SCIE')","57,448","91.2","('Q1', 'Q1')","10.92","6.48"
"NEW ENGLAND JOURNAL OF MEDICINE","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","('SCIE',)","414,591","84.5","Q1","20.92","0.55"
"Nature Reviews Materials","2058-8437","2058-8437","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE')","49,906","83.3","('Q1', 'Q1')","4.44","1.44"
"Signal Transduction and Targeted Therapy","2095-9907","2059-3635","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","88,969","81.2","('Q1', 'Q1')","6.13","100.00"
"ANNALS OF ONCOLOGY","0923-7534","1569-8041","ONCOLOGY","('SCIE',)","68,920","80.4","Q1","9.94","38.32"
"Nature Reviews Disease Primers","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","('SCIE',)","45,742","79.8","Q1","16.97","1.74"
"World Psychiatry","1723-8617","2051-5545","PSYCHIATRY","('SCIE', 'SSCI')","17,298","79.5","Q1","15.21","1.59"
"Nature Reviews Earth & Environment","","2662-138X","('ENVIRONMENTAL SCIENCES', 'GEOSCIENCES, MULTIDISCIPLINARY', 'METEOROLOGY & ATMOSPHERIC SCIENCES')","('SCIE', 'SCIE', 'SCIE')","20,911","74.1","('Q1', 'Q1', 'Q1')","5.30","3.23"
"Nature Energy","2058-7546","2058-7546","('ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","64,421","70.1","('Q1', 'Q1')","8.82","22.63"
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","('SCIE',)","205,027","65.4","Q1","11.42","0.94"
"Living Reviews in Relativity","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS","('SCIE',)","5,696","64.6","Q1","6.53","100.00"
"CHEMICAL REVIEWS","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","262,229","64.2","Q1","3.98","28.23"
"NATURE REVIEWS CANCER","1474-175X","1474-1768","ONCOLOGY","('SCIE',)","62,745","60.7","Q1","7.66","2.14"
"Nature Reviews Gastroenterology & Hepatology","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","35,643","57.5","Q1","6.89","0.71"
"NATURE","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","('SCIE',)","1,053,832","56.1","Q1","10.84","53.07"
"CANCER CELL","1535-6108","1878-3686","('CELL BIOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","64,398","56.1","('Q1', 'Q1')","8.22","41.76"
"Annual Review of Organizational Psychology and Organizational Behavior","2327-0608","2327-0616","('MANAGEMENT', 'PSYCHOLOGY, APPLIED')","('SSCI', 'SSCI')","8,791","55.9","('Q1', 'Q1')","4.90","98.25"
"BMJ-British Medical Journal","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","('SCIE',)","188,624","55.1","Q1","8.91","76.76"
"LANCET NEUROLOGY","1474-4422","1474-4465","CLINICAL NEUROLOGY","('SCIE',)","59,391","54.6","Q1","12.67","16.97"
"Nature Reviews Methods Primers","","2662-8449","MULTIDISCIPLINARY SCIENCES","('SCIE',)","14,296","54.2","Q1","7.90","0.00"
"eScience","2097-2431","2667-1417","('ELECTROCHEMISTRY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","9,810","52.9","('Q1', 'Q1')","5.63","100.00"
"NATURE MEDICINE","1078-8956","1546-170X","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY', 'MEDICINE, RESEARCH & EXPERIMENTAL')","('SCIE', 'SCIE', 'SCIE')","154,284","52.5","('Q1', 'Q1', 'Q1')","9.88","61.40"
"NATURE REVIEWS GENETICS","1471-0056","1471-0064","GENETICS & HEREDITY","('SCIE',)","46,718","51.4","Q1","6.46","2.78"
"MMWR Recommendations and Reports","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","3,790","51.3","Q1","9.55","46.15"
"Electrochemical Energy Reviews","2520-8489","2520-8136","ELECTROCHEMISTRY","('SCIE',)","7,934","50.7","Q1","2.70","38.61"
"IEEE Communications Surveys and Tutorials","","1553-877X","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE')","37,232","50.6","('Q1', 'Q1')","10.71","13.13"
"Nature Reviews Chemistry","","2397-3358","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","19,843","50.3","Q1","3.27","2.82"
"Nature Reviews Cardiology","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","27,057","50.2","Q1","7.80","2.07"
"REVIEWS OF MODERN PHYSICS","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","71,972","48.9","Q1","3.72","0.00"
"Nature Catalysis","2520-1158","2520-1158","CHEMISTRY, PHYSICAL","('SCIE',)","38,981","48.3","Q1","5.95","19.82"
"CHEMICAL SOCIETY REVIEWS","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","194,270","48.3","Q1","2.97","34.51"
"Journal of Hematology & Oncology","","1756-8722","('HEMATOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","32,695","47.8","('Q1', 'Q1')","5.93","100.00"
"SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES","('SCIE',)","831,162","47.3","Q1","8.74","11.30"
"NATURE REVIEWS IMMUNOLOGY","1474-1733","1474-1741","IMMUNOLOGY","('SCIE',)","69,495","47.1","Q1","5.76","1.10"
"Nature Reviews Nephrology","1759-5061","1759-507X","UROLOGY & NEPHROLOGY","('SCIE',)","23,411","46.7","Q1","8.87","4.08"
"Nature Reviews Physics","","2522-5820","('PHYSICS, APPLIED', 'PHYSICS, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","16,004","46.6","('Q1', 'Q1')","2.75","2.19"
"EUROPEAN HEART JOURNAL","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","104,376","45.3","Q1","7.96","43.90"
"CELL","0092-8674","1097-4172","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","329,596","45.1","('Q1', 'Q1')","6.92","44.27"
"JOURNAL OF CLINICAL ONCOLOGY","0732-183X","1527-7755","ONCOLOGY","('SCIE',)","180,692","44.7","Q1","6.45","36.39"
"NATURE BIOTECHNOLOGY","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('SCIE',)","111,118","44.5","Q1","8.43","48.92"
"iMeta","2770-5986","2770-596X","MICROBIOLOGY","('SCIE',)","7,646","44.4","Q1","6.78","100.00"
"PROGRESS IN MATERIALS SCIENCE","0079-6425","1873-2208","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","44,527","42.9","Q1","2.51","25.13"
"Nature Reviews Bioengineering","","2731-6092","('ENGINEERING, BIOMEDICAL', 'MATERIALS SCIENCE, BIOMATERIALS')","('SCIE', 'SCIE')","5,529","42.7","('Q1', 'Q1')","3.11","3.47"
"Nature Electronics","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC","('SCIE',)","26,060","42.3","Q1","6.35","16.13"
"Molecular Cancer","","1476-4598","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","53,231","42.2","('Q1', 'Q1')","5.07","100.00"
"Annual Review of Psychology","0066-4308","1545-2085","('PSYCHOLOGY', 'PSYCHOLOGY, MULTIDISCIPLINARY')","('SCIE', 'SSCI')","35,759","41.8","('Q1', 'Q1')","5.16","100.00"
"CIRCULATION","0009-7322","1524-4539","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'PERIPHERAL VASCULAR DISEASE')","('SCIE', 'SCIE')","186,674","41.3","('Q1', 'Q1')","9.17","23.54"
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","0360-1285","1873-216X","('ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'ENGINEERING, MECHANICAL', 'THERMODYNAMICS')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","19,918","41.3","('Q1', 'Q1', 'Q1', 'Q1')","2.56","40.00"
"JOURNAL OF HEPATOLOGY","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","73,177","40.1","Q1","7.57","39.85"
"Annual Review of Immunology","0732-0582","1545-3278","IMMUNOLOGY","('SCIE',)","20,193","39.8","Q1","3.63","100.00"
"Innovation","2666-6758","2666-6758","MULTIDISCIPLINARY SCIENCES","('ESCI',)","13,607","39.5","Q1","3.66","100.00"
"Lancet Gastroenterology & Hepatology","","2468-1253","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","19,481","39.1","Q1","7.79","18.47"
"Nature Reviews Endocrinology","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM","('SCIE',)","27,488","39.1","Q1","4.59","1.46"
"International Journal of Educational Technology in Higher Education","2365-9440","2365-9440","EDUCATION & EDUCATIONAL RESEARCH","('SSCI',)","9,825","38.7","Q1","10.35","100.00"
"Nano-Micro Letters","2311-6706","2150-5551","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE', 'SCIE')","47,648","38.5","('Q1', 'Q1', 'Q1')","5.07","100.00"
"REVIEWS OF GEOPHYSICS","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS","('SCIE',)","21,762","38.5","Q1","3.58","67.80"
"Nature Photonics","1749-4885","1749-4893","('OPTICS', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","66,213","38.1","('Q1', 'Q1')","7.96","28.60"
"NATURE MATERIALS","1476-1122","1476-4660","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","120,629","38.0","('Q1', 'Q1', 'Q1', 'Q1')","5.78","21.72"
"Nature Nanotechnology","1748-3387","1748-3395","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE')","87,388","37.5","('Q1', 'Q1')","4.76","21.80"
"Annual Review of Astronomy and Astrophysics","0066-4146","1545-4282","ASTRONOMY & ASTROPHYSICS","('SCIE',)","19,257","37.3","Q1","4.16","97.37"
"Joule","2542-4351","2542-4351","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","52,404","37.1","('Q1', 'Q1', 'Q1')","4.15","18.00"
"Cell Metabolism","1550-4131","1932-7420","('CELL BIOLOGY', 'ENDOCRINOLOGY & METABOLISM')","('SCIE', 'SCIE')","73,683","37.0","('Q1', 'Q1')","6.01","30.97"
"Foundations and Trends in Machine Learning","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","('ESCI',)","5,119","36.6","Q1","4.62","0.00"
"Lancet Diabetes & Endocrinology","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM","('SCIE',)","26,882","36.3","Q1","7.42","18.46"
"Physiological Reviews","0031-9333","1522-1210","PHYSIOLOGY","('SCIE',)","42,535","35.7","Q1","4.55","13.71"
"Nature Reviews Electrical Engineering","","2948-1201","ENGINEERING, ELECTRICAL & ELECTRONIC","('ESCI',)","2,048","34.8","Q1","2.71","1.94"
"Lancet Respiratory Medicine","2213-2600","","('CRITICAL CARE MEDICINE', 'RESPIRATORY SYSTEM')","('SCIE', 'SCIE')","25,277","34.7","('Q1', 'Q1')","7.93","19.32"
"Annual Review of Pathology-Mechanisms of Disease","1553-4006","1553-4014","PATHOLOGY","('SCIE',)","10,383","34.5","Q1","7.00","100.00"
"LANCET ONCOLOGY","1470-2045","1474-5488","ONCOLOGY","('SCIE',)","77,887","33.7","Q1","7.06","16.03"
"Nature Reviews Rheumatology","1759-4790","1759-4804","RHEUMATOLOGY","('SCIE',)","20,561","33.7","Q1","5.72","0.00"
"PROGRESS IN POLYMER SCIENCE","0079-6700","1873-1619","POLYMER SCIENCE","('SCIE',)","30,170","32.8","Q1","2.26","26.49"
"Molecular Plant","1674-2052","1752-9867","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'PLANT SCIENCES')","('SCIE', 'SCIE')","32,597","32.7","('Q1', 'Q1')","4.84","23.99"
"Nature Sustainability","2398-9629","2398-9629","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SSCI', 'SSCI')","32,291","32.1","('Q1', 'Q1', 'Q1')","5.32","27.72"
"eLight","2097-1710","2662-8643","OPTICS","('SCIE',)","2,096","31.4","Q1","6.06","100.00"
"Nature Reviews Neurology","1759-4758","1759-4766","CLINICAL NEUROLOGY","('SCIE',)","25,085","31.2","Q1","5.58","0.63"
"CELL RESEARCH","1001-0602","1748-7838","CELL BIOLOGY","('SCIE',)","30,501","31.1","Q1","3.16","64.74"
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","('SSCI',)","25,431","31.0","Q1","6.67","38.71"
"PROCEEDINGS OF THE IEEE","0018-9219","1558-2256","ENGINEERING, ELECTRICAL & ELECTRONIC","('SCIE',)","47,784","30.9","Q1","5.04","17.81"
"Nature Water","","2731-6084","('ENVIRONMENTAL SCIENCES', 'WATER RESOURCES')","('SCIE', 'SCIE')","6,496","30.7","('Q1', 'Q1')","4.57","25.85"
"Immunity","1074-7613","1097-4180","IMMUNOLOGY","('SCIE',)","80,786","30.6","Q1","5.57","31.76"
"Energy & Environmental Science","1754-5692","1754-5706","('CHEMISTRY, MULTIDISCIPLINARY', 'ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","139,545","30.5","('Q1', 'Q1', 'Q1', 'Q1')","4.20","23.03"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","COMPUTER SCIENCE, THEORY & METHODS","('SCIE',)","48,496","30.4","Q1","7.02","28.94"
"Exploration","2766-8509","2766-2098","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'MULTIDISCIPLINARY SCIENCES', 'NANOSCIENCE & NANOTECHNOLOGY')","('ESCI', 'ESCI', 'ESCI')","7,152","30.4","('Q1', 'Q1', 'Q1')","2.29","100.00"
"Advances in Optics and Photonics","1943-8206","","OPTICS","('SCIE',)","5,691","30.1","Q1","3.96","5.56"
"Nature Machine Intelligence","","2522-5839","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS')","('SCIE', 'SCIE')","23,900","29.8","('Q1', 'Q1')","4.19","37.47"
"Gastroenterology","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","93,386","29.7","Q1","5.55","31.50"
"Nature Chemical Engineering","","2948-1198","ENGINEERING, CHEMICAL","('ESCI',)","1,997","29.7","Q1","3.70","19.47"
"Cancer Discovery","2159-8274","2159-8290","ONCOLOGY","('SCIE',)","40,579","29.5","Q1","6.35","51.29"
"Lancet Rheumatology","2665-9913","2665-9913","RHEUMATOLOGY","('SCIE',)","6,511","29.5","Q1","5.48","24.34"
"LANCET INFECTIOUS DISEASES","1473-3099","1474-4457","INFECTIOUS DISEASES","('SCIE',)","42,054","29.4","Q1","6.90","28.09"
"Living Reviews in Solar Physics","2367-3648","1614-4961","ASTRONOMY & ASTROPHYSICS","('SCIE',)","2,460","29.4","Q1","3.93","100.00"
"EUROPEAN UROLOGY","0302-2838","1873-7560","UROLOGY & NEPHROLOGY","('SCIE',)","38,364","29.1","Q1","7.51","41.24"
"ADVANCED MATERIALS","0935-9648","1521-4095","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","540,001","29.1","('Q1', 'Q1', 'Q1', 'Q1', 'Q1', 'Q1')","3.56","22.54"
"Military Medical Research","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL","('SCIE',)","7,682","29.0","Q1","3.85","100.00"
"NATURE REVIEWS NEUROSCIENCE","1471-003X","1471-0048","NEUROSCIENCES","('SCIE',)","54,187","29.0","Q1","3.68","1.45"
"Annual Review of Condensed Matter Physics","1947-5454","1947-5462","PHYSICS, CONDENSED MATTER","('SCIE',)","6,578","29.0","Q1","1.30","100.00"
"Cancer Communications","","2523-3548","ONCOLOGY","('SCIE',)","9,938","28.4","Q1","4.27","98.61"
"NATURE METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS","('SCIE',)","142,000","28.3","Q1","7.21","54.23"
"Nature Cancer","","2662-1347","ONCOLOGY","('SCIE',)","14,846","28.0","Q1","5.64","38.56"
"Nature Metabolism","","2522-5812","ENDOCRINOLOGY & METABOLISM","('SCIE',)","20,014","27.5","Q1","5.21","43.54"
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","0370-1573","1873-6270","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","41,071","27.5","Q1","2.62","41.56"
"FUNGAL DIVERSITY","1560-2745","1878-9129","MYCOLOGY","('SCIE',)","8,588","27.0","Q1","7.03","27.78"
"Nature Climate Change","1758-678X","1758-6798","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES', 'METEOROLOGY & ATMOSPHERIC SCIENCES')","('SCIE', 'SSCI', 'SCIE')","61,754","26.9","('Q1', 'Q1', 'Q1')","4.99","39.06"
"Opto-Electronic Science","2097-0382","2097-4000","OPTICS","('ESCI',)","1,733","26.9","Q1","4.94","100.00"
"Advanced Powder Materials","","2772-834X","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","3,909","26.8","('Q1', 'Q1')","4.83","100.00"
"Lancet Public Health","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE', 'SSCI')","17,385","26.5","Q1","7.61","97.71"
"NATURE IMMUNOLOGY","1529-2908","1529-2916","IMMUNOLOGY","('SCIE',)","59,614","26.5","Q1","5.47","37.09"
"Annual Review of Plant Biology","1543-5008","1545-2123","PLANT SCIENCES","('SCIE',)","25,778","26.4","Q1","2.60","100.00"
"JAMA Internal Medicine","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL","('SCIE',)","28,116","26.3","Q1","6.35","20.37"
"Nature Biomedical Engineering","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","('SCIE',)","24,906","26.3","Q1","4.83","33.59"
"Annual Review of Fluid Mechanics","0066-4189","1545-4479","('MECHANICS', 'PHYSICS, FLUIDS & PLASMAS')","('SCIE', 'SCIE')","20,336","26.1","('Q1', 'Q1')","3.00","100.00"
"COORDINATION CHEMISTRY REVIEWS","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR","('SCIE',)","86,303","25.6","Q1","1.55","13.73"
"NATURE GENETICS","1061-4036","1546-1718","GENETICS & HEREDITY","('SCIE',)","114,115","25.5","Q1","7.53","55.14"
"Science Robotics","2470-9476","2470-9476","ROBOTICS","('SCIE',)","17,521","25.5","Q1","5.53","0.89"
"Lancet Digital Health","","2589-7500","('MEDICAL INFORMATICS', 'MEDICINE, GENERAL & INTERNAL')","('SCIE', 'SCIE')","11,618","25.5","('Q1', 'Q1')","3.78","99.13"
"Advanced Energy Materials","1614-6832","1614-6840","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","174,452","25.5","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","3.31","25.34"
"TRENDS IN CELL BIOLOGY","0962-8924","1879-3088","CELL BIOLOGY","('SCIE',)","21,812","25.3","Q1","1.64","26.76"
"Journal of the National Cancer Center","2667-0054","2667-0054","ONCOLOGY","('ESCI',)","2,638","25.2","Q1","4.67","100.00"
"Environmental Chemistry Letters","1610-3653","1610-3661","('CHEMISTRY, MULTIDISCIPLINARY', 'ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE', 'SCIE')","25,657","25.2","('Q1', 'Q1', 'Q1')","1.62","27.90"
"International Journal of Extreme Manufacturing","2631-8644","2631-7990","('ENGINEERING, MANUFACTURING', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","8,329","25.1","('Q1', 'Q1')","2.63","100.00"
"Nature Aging","","2662-8465","('CELL BIOLOGY', 'GERIATRICS & GERONTOLOGY', 'NEUROSCIENCES')","('SCIE', 'SCIE', 'SCIE')","10,875","25.0","('Q1', 'Q1', 'Q1')","4.66","44.81"
"Annual Review of Biochemistry","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY","('SCIE',)","21,229","24.9","Q1","1.95","100.00"
"Nature Food","","2662-1355","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","14,325","24.7","Q1","3.93","33.33"
"GUT","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","66,773","24.6","Q1","5.52","39.92"
"Nature Chemistry","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","51,530","24.5","Q1","3.52","30.25"
"PROGRESS IN AEROSPACE SCIENCES","0376-0421","1873-1724","ENGINEERING, AEROSPACE","('SCIE',)","11,178","24.2","Q1","1.82","33.96"
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","0890-6955","1879-2170","('ENGINEERING, MANUFACTURING', 'ENGINEERING, MECHANICAL')","('SCIE', 'SCIE')","18,908","24.1","('Q1', 'Q1')","3.55","14.89"
"Materials Today","1369-7021","1873-4103","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","36,727","24.1","Q1","3.28","14.56"
"ANNALS OF THE RHEUMATIC DISEASES","0003-4967","1468-2060","RHEUMATOLOGY","('SCIE',)","57,368","24.0","Q1","5.87","43.95"
"Light-Science & Applications","2095-5545","2047-7538","OPTICS","('SCIE',)","36,378","24.0","Q1","5.58","100.00"
"TRENDS IN PHARMACOLOGICAL SCIENCES","0165-6147","1873-3735","PHARMACOLOGY & PHARMACY","('SCIE',)","17,299","24.0","Q1","2.64","29.65"
"JAMA Oncology","2374-2437","2374-2445","ONCOLOGY","('SCIE',)","32,733","23.9","Q1","4.13","26.58"
"BLOOD","0006-4971","1528-0020","HEMATOLOGY","('SCIE',)","168,805","23.9","Q1","3.70","29.53"
"Cellular & Molecular Immunology","1672-7681","2042-0226","IMMUNOLOGY","('SCIE',)","21,315","23.9","Q1","3.01","54.71"
"ENDOCRINE REVIEWS","0163-769X","1945-7189","ENDOCRINOLOGY & METABOLISM","('SCIE',)","20,852","23.9","Q1","2.96","51.89"
"EUROPEAN RESPIRATORY JOURNAL","0903-1936","1399-3003","RESPIRATORY SYSTEM","('SCIE',)","55,083","23.8","Q1","4.81","25.86"
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","0001-8686","1873-3727","CHEMISTRY, PHYSICAL","('SCIE',)","36,856","23.7","Q1","2.47","22.31"
"JAMA Neurology","2168-6149","2168-6157","CLINICAL NEUROLOGY","('SCIE',)","26,720","23.6","Q1","6.20","33.23"
"Bioactive Materials","","2452-199X","('ENGINEERING, BIOMEDICAL', 'MATERIALS SCIENCE, BIOMATERIALS')","('SCIE', 'SCIE')","43,995","23.6","('Q1', 'Q1')","3.92","100.00"
"Computers and Education: Artificial Intelligence","2666-920X","2666-920X","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS', 'EDUCATION & EDUCATIONAL RESEARCH')","('ESCI', 'ESCI', 'ESCI')","7,468","23.4","('Q1', 'Q1', 'Q1')","5.27","100.00"
"Journal of Thoracic Oncology","1556-0864","1556-1380","('ONCOLOGY', 'RESPIRATORY SYSTEM')","('SCIE', 'SCIE')","29,690","23.3","('Q1', 'Q1')","4.60","27.60"
"Cell Stem Cell","1934-5909","1875-9777","('CELL & TISSUE ENGINEERING', 'CELL BIOLOGY')","('SCIE', 'SCIE')","33,534","23.3","('Q1', 'Q1')","4.08","39.48"
"Cell Host & Microbe","1931-3128","1934-6069","('MICROBIOLOGY', 'PARASITOLOGY', 'VIROLOGY')","('SCIE', 'SCIE', 'SCIE')","36,971","23.2","('Q1', 'Q1', 'Q1')","5.74","37.41"
"Responsive Materials","2834-894X","2834-8966","('CHEMISTRY, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","1,246","22.9","('Q1', 'Q1')","1.55","100.00"
"NATURE CELL BIOLOGY","1465-7392","1476-4679","CELL BIOLOGY","('SCIE',)","50,742","22.7","Q1","3.09","47.05"
"Advanced Fiber Materials","2524-7921","2524-793X","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, TEXTILES')","('SCIE', 'SCIE')","9,305","22.6","('Q1', 'Q1')","4.34","9.42"
"DIABETES CARE","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM","('SCIE',)","82,731","22.6","Q1","4.15","1.99"
"Nature Synthesis","","2731-0582","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","9,321","22.6","Q1","2.96","14.78"
"CANCER RESEARCH","0008-5472","1538-7445","ONCOLOGY","('SCIE',)","119,428","22.6","Q1","2.61","35.17"
