"journal_name","issn","e_issn","category","total_citations","impact_factor_2022","jif_quartile","jci_2022","percent_oa_gold"
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","1542-4863","ONCOLOGY - SCIE","66,163","254.7","Q1","130.54","92.31"
"LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL - SCIE","365,044","168.9","Q1","21.68","26.22"
"NEW ENGLAND JOURNAL OF MEDICINE","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL - SCIE","456,891","158.5","Q1","24.51","2.33"
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL - SCIE","211,699","120.7","Q1","11.17","2.13"
"NATURE REVIEWS DRUG DISCOVERY","1474-1776","1474-1784","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE')","48,043","120.1","('Q1', 'Q1')","12.45","6.03"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0072","1471-0080","CELL BIOLOGY - SCIE","65,845","112.7","Q1","8.82","2.08"
"BMJ-British Medical Journal","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL - SCIE","171,860","107.7","Q1","8.87","82.16"
"NATURE REVIEWS IMMUNOLOGY","1474-1733","1474-1741","IMMUNOLOGY - SCIE","66,033","100.3","Q1","8.11","1.65"
"NATURE REVIEWS MICROBIOLOGY","1740-1526","1740-1534","MICROBIOLOGY - SCIE","53,344","88.1","Q1","6.76","4.17"
"Nature Reviews Materials","2058-8437","2058-8437","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","31,441","83.5","('Q1', 'Q1')","3.89","1.80"
"NATURE MEDICINE","1078-8956","1546-170X","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","139,574","82.9","('Q1', 'Q1', 'Q1')","14.06","28.10"
"Nature Reviews Disease Primers","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL - SCIE","27,771","81.5","Q1","17.54","7.69"
"Nature Reviews Clinical Oncology","1759-4774","1759-4782","ONCOLOGY - SCIE","26,127","78.8","Q1","9.09","2.13"
"NATURE REVIEWS CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","63,667","78.5","Q1","8.86","0.72"
"Lancet Respiratory Medicine","2213-2600","","('CRITICAL CARE MEDICINE - SCIE', 'RESPIRATORY SYSTEM - SCIE')","26,770","76.2","('Q1', 'Q1')","11.75","21.55"
"World Psychiatry","1723-8617","2051-5545","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","12,296","73.3","('Q1', 'Q1')","9.06","0.00"
"Nature Reviews Gastroenterology & Hepatology","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY - SCIE","25,080","65.1","Q1","9.19","4.94"
"NATURE","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES - SCIE","964,818","64.8","Q1","11.43","19.06"
"CELL","0092-8674","1097-4172","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE')","338,069","64.5","('Q1', 'Q1')","9.52","75.68"
"Lancet Psychiatry","2215-0374","","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","21,041","64.3","('Q1', 'Q1')","8.65","22.38"
"CHEMICAL REVIEWS","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","231,674","62.1","Q1","4.20","13.13"
"SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES - SCIE","818,281","56.9","Q1","9.64","7.14"
"Nature Energy","2058-7546","2058-7546","('ENERGY & FUELS - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","41,749","56.7","('Q1', 'Q1')","8.53","7.88"
"LANCET INFECTIOUS DISEASES","1473-3099","1474-4457","INFECTIOUS DISEASES - SCIE","46,654","56.3","Q1","7.69","27.88"
"ADVANCES IN PHYSICS","0001-8732","1460-6976","PHYSICS, CONDENSED MATTER - SCIE","6,166","54.8","Q1","1.37","0.00"
"LANCET ONCOLOGY","1470-2045","1474-5488","ONCOLOGY - SCIE","77,245","51.1","Q1","9.03","14.60"
"ANNALS OF ONCOLOGY","0923-7534","1569-8041","ONCOLOGY - SCIE","67,195","50.5","Q1","6.41","75.48"
"CANCER CELL","1535-6108","1878-3686","('CELL BIOLOGY - SCIE', 'ONCOLOGY - SCIE')","55,579","50.3","('Q1', 'Q1')","6.44","71.60"
"Lancet Public Health","2468-2667","2468-2667","('PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","10,751","50.0","('Q1', 'Q1')","9.09","90.38"
"Nature Reviews Cardiology","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,301","49.6","Q1","6.60","2.98"
"LANCET NEUROLOGY","1474-4422","1474-4465","CLINICAL NEUROLOGY - SCIE","49,060","48.0","Q1","12.82","12.04"
"NATURE METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","110,879","48.0","Q1","9.10","17.89"
"NATURE BIOTECHNOLOGY","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","90,681","46.9","Q1","9.59","17.71"
"CHEMICAL SOCIETY REVIEWS","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","177,860","46.2","Q1","3.41","23.39"
"JOURNAL OF CLINICAL ONCOLOGY","0732-183X","1527-7755","ONCOLOGY - SCIE","180,328","45.4","Q1","5.58","26.55"
"Lancet Diabetes & Endocrinology","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM - SCIE","19,242","44.5","Q1","7.51","11.89"
"CELL RESEARCH","1001-0602","1748-7838","CELL BIOLOGY - SCIE","29,723","44.1","Q1","3.52","62.00"
"REVIEWS OF MODERN PHYSICS","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY - SCIE","59,661","44.0","Q1","4.80","11.22"
"NATURE REVIEWS GENETICS","1471-0056","1471-0064","GENETICS & HEREDITY - SCIE","43,862","42.7","Q1","6.24","5.84"
"Nature Reviews Earth & Environment","","2662-138X","('ENVIRONMENTAL SCIENCES - SCIE', 'GEOSCIENCES, MULTIDISCIPLINARY - SCIE')","4,599","42.1","('Q1', 'Q1')","4.00","0.68"
"Nature Reviews Nephrology","1759-5061","1759-507X","UROLOGY & NEPHROLOGY - SCIE","15,061","41.5","Q1","6.82","3.31"
"NATURE MATERIALS","1476-1122","1476-4660","('CHEMISTRY, PHYSICAL - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'PHYSICS, APPLIED - SCIE', 'PHYSICS, CONDENSED MATTER - SCIE')","112,359","41.2","('Q1', 'Q1', 'Q1', 'Q1')","6.64","4.43"
"Living Reviews in Relativity","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS - SCIE","3,705","40.6","Q1","6.34","100.00"
"Nature Reviews Endocrinology","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM - SCIE","20,556","40.5","Q1","5.11","5.10"
"Nature Reviews Methods Primers","","2662-8449","MULTIDISCIPLINARY SCIENCES - ESCI","1,936","39.8","","6.42","9.30"
"Joule","2542-4351","2542-4351","('CHEMISTRY, PHYSICAL - SCIE', 'ENERGY & FUELS - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","32,603","39.8","('Q1', 'Q1', 'Q1')","4.93","77.35"
"EUROPEAN HEART JOURNAL","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","87,861","39.3","Q1","6.79","37.48"
"Signal Transduction and Targeted Therapy","2095-9907","2059-3635","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE')","19,678","39.3","('Q1', 'Q1')","3.70","100.00"
"ANNALS OF INTERNAL MEDICINE","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL - SCIE","72,041","39.2","Q1","4.91","0.00"
"JAMA Internal Medicine","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL - SCIE","28,112","39.0","Q1","4.75","17.33"
"INTENSIVE CARE MEDICINE","0342-4642","1432-1238","CRITICAL CARE MEDICINE - SCIE","32,807","38.9","Q1","3.95","26.77"
"Nature Reviews Physics","","2522-5820","('PHYSICS, APPLIED - SCIE', 'PHYSICS, MULTIDISCIPLINARY - SCIE')","5,880","38.5","('Q1', 'Q1')","2.60","1.48"
"Nature Nanotechnology","1748-3387","1748-3395","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","77,412","38.3","('Q1', 'Q1')","5.15","5.87"
"Lancet Microbe","","2666-5247","('INFECTIOUS DISEASES - SCIE', 'MICROBIOLOGY - SCIE')","4,054","38.2","('Q1', 'Q1')","4.99","87.88"
"Nature Reviews Neurology","1759-4758","1759-4766","CLINICAL NEUROLOGY - SCIE","19,735","38.1","Q1","6.28","4.17"
"CIRCULATION","0009-7322","1524-4539","('CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE', 'PERIPHERAL VASCULAR DISEASE - SCIE')","187,648","37.8","('Q1', 'Q1')","7.45","23.52"
"Nature Catalysis","2520-1158","2520-1158","CHEMISTRY, PHYSICAL - SCIE","20,481","37.8","Q1","4.50","5.48"
"PROGRESS IN MATERIALS SCIENCE","0079-6425","1873-2208","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","27,551","37.4","Q1","2.54","20.08"
"Molecular Cancer","","1476-4598","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'ONCOLOGY - SCIE')","36,241","37.3","('Q1', 'Q1')","5.43","100.00"
"CLINICAL MICROBIOLOGY REVIEWS","0893-8512","1098-6618","MICROBIOLOGY - SCIE","26,300","36.8","Q1","3.51","0.91"
"Foundations and Trends in Computer Graphics and Vision","1572-2740","1572-2759","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","405","36.5","","3.22","85.71"
"Lancet Child & Adolescent Health","2352-4642","2352-4642","PEDIATRICS - SCIE","7,827","36.4","Q1","8.44","19.21"
"Nature Reviews Chemistry","","2397-3358","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9,964","36.3","Q1","2.16","3.23"
"Annual Review of Pathology-Mechanisms of Disease","1553-4006","1553-4014","PATHOLOGY - SCIE","8,303","36.2","Q1","5.78","3.17"
"Lancet Gastroenterology & Hepatology","","2468-1253","GASTROENTEROLOGY & HEPATOLOGY - SCIE","11,326","35.7","Q1","5.44","13.79"
"IEEE Communications Surveys and Tutorials","","1553-877X","('COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'TELECOMMUNICATIONS - SCIE')","29,361","35.6","('Q1', 'Q1')","8.77","21.58"
"Nature Photonics","1749-4885","1749-4893","('OPTICS - SCIE', 'PHYSICS, APPLIED - SCIE')","55,088","34.9","('Q1', 'Q1')","8.69","7.47"
"NATURE REVIEWS NEUROSCIENCE","1471-003X","1471-0048","NEUROSCIENCES - SCIE","50,019","34.7","Q1","4.35","2.11"
"Lancet Global Health","2214-109X","2214-109X","('PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","22,632","34.3","('Q1', 'Q1')","7.54","88.27"
"Nature Electronics","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","11,819","34.3","Q1","5.24","6.13"
"MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT","0149-2195","1545-861X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","40,621","33.9","Q1","8.82","86.19"
"MMWR Recommendations and Reports","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,049","33.7","Q1","10.08","94.12"
"Nature Reviews Rheumatology","1759-4790","1759-4804","RHEUMATOLOGY - SCIE","15,294","33.7","Q1","4.40","2.03"
"PHYSIOLOGICAL REVIEWS","0031-9333","1522-1210","PHYSIOLOGY - SCIE","38,846","33.6","Q1","5.59","18.64"
"Cell Discovery","","2056-5968","CELL BIOLOGY - SCIE","6,697","33.5","Q1","2.07","99.12"
"Annual Review of Astronomy and Astrophysics","0066-4146","1545-4282","ASTRONOMY & ASTROPHYSICS - SCIE","14,851","33.3","Q1","3.69","2.56"
"Innovation","2666-6758","2666-6758","MULTIDISCIPLINARY SCIENCES - ESCI","3,546","33.1","","4.99","83.97"
"Foundations and Trends in Machine Learning","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","3,581","32.8","","8.86","0.00"
"Energy & Environmental Science","1754-5692","1754-5706","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'ENERGY & FUELS - SCIE', 'ENGINEERING, CHEMICAL - SCIE', 'ENVIRONMENTAL SCIENCES - SCIE')","107,998","32.5","('Q1', 'Q1', 'Q1', 'Q1')","4.54","20.81"
"Immunity","1074-7613","1097-4180","IMMUNOLOGY - SCIE","77,462","32.4","Q1","5.24","78.85"
"Electrochemical Energy Reviews","2520-8489","2520-8136","ELECTROCHEMISTRY - SCIE","3,418","31.3","Q1","2.15","25.26"
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","0927-796X","1879-212X","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'PHYSICS, APPLIED - SCIE')","9,601","31.0","('Q1', 'Q1')","2.09","22.78"
"NATURE GENETICS","1061-4036","1546-1718","GENETICS & HEREDITY - SCIE","111,677","30.8","Q1","9.35","20.64"
"Lancet Digital Health","","2589-7500","('MEDICAL INFORMATICS - SCIE', 'MEDICINE, GENERAL & INTERNAL - SCIE')","4,803","30.8","('Q1', 'Q1')","4.94","94.71"
"Nature Climate Change","1758-678X","1758-6798","('ENVIRONMENTAL SCIENCES - SCIE', 'ENVIRONMENTAL STUDIES - SSCI', 'METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE')","45,022","30.7","('Q1', 'Q1', 'Q1')","5.18","10.24"
"NATURE IMMUNOLOGY","1529-2908","1529-2916","IMMUNOLOGY - SCIE","58,377","30.5","Q1","4.78","10.14"
"Cell Host & Microbe","1931-3128","1934-6069","('MICROBIOLOGY - SCIE', 'PARASITOLOGY - SCIE', 'VIROLOGY - SCIE')","33,775","30.3","('Q1', 'Q1', 'Q1')","6.08","81.65"
"Nature Human Behaviour","2397-3374","2397-3374","('MULTIDISCIPLINARY SCIENCES - SCIE', 'NEUROSCIENCES - SCIE', 'PSYCHOLOGY, EXPERIMENTAL - SSCI')","14,216","29.9","('Q1', 'Q1', 'Q1')","6.47","9.69"
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","0370-1573","1873-6270","PHYSICS, MULTIDISCIPLINARY - SCIE","33,731","29.9","Q1","2.65","41.98"
"Annual Review of Immunology","0732-0582","1545-3278","IMMUNOLOGY - SCIE","20,103","29.7","Q1","2.88","2.41"
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","0360-1285","1873-216X","('ENERGY & FUELS - SCIE', 'ENGINEERING, CHEMICAL - SCIE', 'ENGINEERING, MECHANICAL - SCIE', 'THERMODYNAMICS - SCIE')","15,670","29.5","('Q1', 'Q1', 'Q1', 'Q1')","2.33","34.62"
"Gastroenterology","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY - SCIE","95,926","29.4","Q1","5.38","31.17"
"ADVANCED MATERIALS","0935-9648","1521-4095","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'CHEMISTRY, PHYSICAL - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE', 'PHYSICS, APPLIED - SCIE', 'PHYSICS, CONDENSED MATTER - SCIE')","369,915","29.4","('Q1', 'Q1', 'Q1', 'Q1', 'Q1', 'Q1')","4.07","12.55"
"BEHAVIORAL AND BRAIN SCIENCES","0140-525X","1469-1825","('BEHAVIORAL SCIENCES - SCIE', 'NEUROSCIENCES - SCIE', 'PSYCHOLOGY, BIOLOGICAL - SSCI')","11,851","29.3","('Q1', 'Q1', 'Q1')","4.06","0.00"
"Cancer Discovery","2159-8274","2159-8290","ONCOLOGY - SCIE","33,141","29.1","Q1","5.89","25.18"
"JAMA Neurology","2168-6149","2168-6157","CLINICAL NEUROLOGY - SCIE","21,531","29.0","Q1","7.22","27.95"
"Cell Metabolism","1550-4131","1932-7420","('CELL BIOLOGY - SCIE', 'ENDOCRINOLOGY & METABOLISM - SCIE')","58,914","29.0","('Q1', 'Q1')","5.15","77.88"
"Journal of Hematology & Oncology","","1756-8722","('HEMATOLOGY - SCIE', 'ONCOLOGY - SCIE')","20,030","28.5","('Q1', 'Q1')","3.57","99.75"
"JAMA Oncology","2374-2437","2374-2445","ONCOLOGY - SCIE","28,702","28.4","Q1","5.09","19.70"
"SusMat","2766-8479","2692-4552","('CHEMISTRY, MULTIDISCIPLINARY - ESCI', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI')","1,137","28.4","('N/A', 'N/A', 'N/A')","3.06","79.75"
"Nature Microbiology","2058-5276","2058-5276","MICROBIOLOGY - SCIE","22,435","28.3","Q1","5.42","22.95"
"JOURNAL OF INFECTION","0163-4453","1532-2742","INFECTIOUS DISEASES - SCIE","17,464","28.2","Q1","2.98","29.48"
"Nature Biomedical Engineering","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL - SCIE","13,517","28.1","Q1","5.37","7.04"
"Advanced Energy Materials","1614-6832","1614-6840","('CHEMISTRY, PHYSICAL - SCIE', 'ENERGY & FUELS - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'PHYSICS, APPLIED - SCIE', 'PHYSICS, CONDENSED MATTER - SCIE')","122,806","27.8","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","3.68","14.09"
"Annual Review of Fluid Mechanics","0066-4189","1545-4479","('MECHANICS - SCIE', 'PHYSICS, FLUIDS & PLASMAS - SCIE')","16,464","27.7","('Q1', 'Q1')","2.56","0.00"
"Nature Sustainability","2398-9629","2398-9629","('ENVIRONMENTAL SCIENCES - SCIE', 'ENVIRONMENTAL STUDIES - SSCI', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI')","14,346","27.6","('Q1', 'Q1', 'Q1')","4.22","9.02"
"Molecular Plant","1674-2052","1752-9867","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'PLANT SCIENCES - SCIE')","24,114","27.5","('Q1', 'Q1')","4.32","84.62"
"Dialogues in Human Geography","2043-8206","2043-8214","GEOGRAPHY - SSCI","1,539","27.5","Q1","2.68","36.73"
"ANNALS OF THE RHEUMATIC DISEASES","0003-4967","1468-2060","RHEUMATOLOGY - SCIE","59,897","27.4","Q1","4.90","41.75"
"Advances in Optics and Photonics","1943-8206","","OPTICS - SCIE","3,994","27.1","Q1","3.46","34.21"
"PROGRESS IN POLYMER SCIENCE","0079-6700","1873-1619","POLYMER SCIENCE - SCIE","28,522","27.1","Q1","2.20","27.04"
"Nano-Micro Letters","2311-6706","2150-5551","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE', 'PHYSICS, APPLIED - SCIE')","18,182","26.6","('Q1', 'Q1', 'Q1')","3.67","99.50"
"JAMA Pediatrics","2168-6203","2168-6211","PEDIATRICS - SCIE","19,276","26.1","Q1","7.22","15.34"
"JAMA Psychiatry","2168-622X","2168-6238","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","22,312","25.8","('Q1', 'Q1')","4.28","26.39"
"ASTRONOMY AND ASTROPHYSICS REVIEW","0935-4956","1432-0754","ASTRONOMY & ASTROPHYSICS - SCIE","2,723","25.8","Q1","3.68","54.17"
"JOURNAL OF HEPATOLOGY","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY - SCIE","60,299","25.7","Q1","4.97","40.18"
"Lancet Planetary Health","","2542-5196","('ENVIRONMENTAL SCIENCES - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","6,220","25.7","('Q1', 'Q1', 'Q1')","4.23","90.34"
"JOURNAL OF TRAVEL MEDICINE","1195-1982","1708-8305","('INFECTIOUS DISEASES - SCIE', 'MEDICINE, GENERAL & INTERNAL - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE')","5,367","25.7","('Q1', 'Q1', 'Q1')","1.68","26.90"
"Psychological Science in the Public Interest","1529-1006","1539-6053","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,711","25.4","Q1","9.31","27.27"
"Lancet Rheumatology","2665-9913","2665-9913","RHEUMATOLOGY - SCIE","3,908","25.4","Q1","5.42","20.11"
"REVIEWS OF GEOPHYSICS","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS - SCIE","16,845","25.2","Q1","2.50","50.75"
"EnergyChem","2589-7780","2589-7780","('CHEMISTRY, MULTIDISCIPLINARY - ESCI', 'ENERGY & FUELS - ESCI', 'ENGINEERING, CHEMICAL - ESCI', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI')","1,927","25.1","('N/A', 'N/A', 'N/A', 'N/A')","2.04","7.46"
"NATURE NEUROSCIENCE","1097-6256","1546-1726","NEUROSCIENCES - SCIE","74,817","25.0","Q1","5.91","10.39"
"Science Robotics","2470-9476","2470-9476","ROBOTICS - SCIE","9,760","25.0","Q1","5.41","0.00"
"MMWR Surveillance Summaries","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,714","24.9","Q1","7.08","77.42"
"EUROPEAN RESPIRATORY JOURNAL","0903-1936","1399-3003","RESPIRATORY SYSTEM - SCIE","57,981","24.9","Q1","3.97","35.74"
"Science Immunology","2470-9468","2470-9468","IMMUNOLOGY - SCIE","11,760","24.8","Q1","4.24","14.36"
"Annual Review of Psychology","0066-4308","1545-2085","('PSYCHOLOGY - SCIE', 'PSYCHOLOGY, MULTIDISCIPLINARY - SSCI')","28,540","24.8","('Q1', 'Q1')","4.22","3.70"
"Lancet Haematology","2352-3026","","HEMATOLOGY - SCIE","6,997","24.7","Q1","4.26","9.81"
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","1073-449X","1535-4970","('CRITICAL CARE MEDICINE - SCIE', 'RESPIRATORY SYSTEM - SCIE')","73,439","24.7","('Q1', 'Q1')","4.15","25.46"
"GUT","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY - SCIE","64,795","24.5","Q1","6.06","47.05"
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","124,650","24.4","Q1","4.89","69.05"
"DRUG RESISTANCE UPDATES","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY - SCIE","5,008","24.3","Q1","3.09","36.25"
"Materials Today","1369-7021","1873-4103","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","26,218","24.2","Q1","3.32","28.48"
"Cellular & Molecular Immunology","1672-7681","2042-0226","IMMUNOLOGY - SCIE","13,869","24.1","Q1","1.98","43.68"
"JAMA Cardiology","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,230","24.0","Q1","5.78","9.30"
"Cell Stem Cell","1934-5909","1875-9777","('CELL & TISSUE ENGINEERING - SCIE', 'CELL BIOLOGY - SCIE')","33,385","23.9","('Q1', 'Q1')","4.18","65.14"
"Annual Review of Plant Biology","1543-5008","1545-2123","PLANT SCIENCES - SCIE","25,199","23.9","Q1","2.58","1.14"
"Nature Machine Intelligence","","2522-5839","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE')","6,863","23.8","('Q1', 'Q1')","3.97","9.49"
"Annual Review of Entomology","0066-4170","1545-4487","ENTOMOLOGY - SCIE","14,912","23.8","Q1","3.82","5.56"
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","0162-8828","1939-3539","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE')","82,070","23.6","('Q1', 'Q1')","6.82","9.74"
"Chem","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY - SCIE","22,512","23.5","Q1","2.92","70.24"
"EUROPEAN UROLOGY","0302-2838","1873-7560","UROLOGY & NEPHROLOGY - SCIE","38,094","23.4","Q1","6.82","27.63"
"Nature Food","","2662-1355","FOOD SCIENCE & TECHNOLOGY - SCIE","4,491","23.2","Q1","3.58","11.11"
"COMMUNICATIONS OF THE ACM","0001-0782","1557-7317","('COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE', 'COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE', 'COMPUTER SCIENCE, THEORY & METHODS - SCIE')","28,313","22.7","('Q1', 'Q1', 'Q1')","8.05","0.36"
"Nature Cancer","","2662-1347","ONCOLOGY - SCIE","4,262","22.7","Q1","4.38","14.50"
"InfoMat","","2567-3165","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","5,107","22.7","Q1","2.36","88.14"
"Annual Review of Condensed Matter Physics","1947-5454","1947-5462","PHYSICS, CONDENSED MATTER - SCIE","4,755","22.6","Q1","1.10","0.00"
"PSYCHOLOGICAL BULLETIN","0033-2909","1939-1455","('PSYCHOLOGY - SCIE', 'PSYCHOLOGY, MULTIDISCIPLINARY - SSCI')","62,263","22.4","('Q1', 'Q1')","5.04","0.89"
"PSYCHOTHERAPY AND PSYCHOSOMATICS","0033-3190","1423-0348","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI', 'PSYCHOLOGY - SCIE')","6,367","22.3","('Q1', 'Q1', 'Q1')","3.50","39.51"
"APPLIED CATALYSIS B-ENVIRONMENTAL","0926-3373","1873-3883","('CHEMISTRY, PHYSICAL - SCIE', 'ENGINEERING, CHEMICAL - SCIE', 'ENGINEERING, ENVIRONMENTAL - SCIE')","159,057","22.1","('Q1', 'Q1', 'Q1')","3.14","8.83"
"ACS Energy Letters","2380-8195","2380-8195","('CHEMISTRY, PHYSICAL - SCIE', 'ELECTROCHEMISTRY - SCIE', 'ENERGY & FUELS - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","48,700","22.0","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","3.07","7.48"
"Nature Chemistry","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY - SCIE","42,539","21.8","Q1","3.76","7.42"
"NATURE CELL BIOLOGY","1465-7392","1476-4679","CELL BIOLOGY - SCIE","50,849","21.3","Q1","3.33","14.17"
"Academy of Management Annals","1941-6520","1941-6067","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","8,731","21.2","('Q1', 'Q1')","3.54","0.00"
